rank,name,lowercase,source_name,gender,china_frequency_code,source
1,Li,li,Li,?,1,Matthias Winkelmann / Jorg Michael firstname-database; China column
2,Wei,wei,Wei,?,1,Matthias Winkelmann / Jorg Michael firstname-database; China column
3,Yan,yan,Yan,?,1,Matthias Winkelmann / Jorg Michael firstname-database; China column
4,Jun,jun,Jun,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
5,Lei,lei,Lei,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
6,Min,min,Min,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
7,Hong,hong,Hong,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
8,Jian,jian,Jian,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
9,Jing,jing,Jing,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
10,Ping,ping,Ping,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
11,Ying,ying,Ying,?,0,Matthias Winkelmann / Jorg Michael firstname-database; China column
12,Bo,bo,Bo,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
13,Qi,qi,Qi,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
14,Yi,yi,Yi,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
15,Yu,yu,Yu,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
16,Bin,bin,Bin,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
17,Hui,hui,Hui,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
18,Jie,jie,Jie,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
19,Lin,lin,Lin,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
20,Tao,tao,Tao,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
21,Xin,xin,Xin,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
22,Bing,bing,Bing,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
23,Fang,fang,Fang,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
24,Feng,feng,Feng,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
25,Gang,gang,Gang,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
26,Ling,ling,Ling,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
27,Ming,ming,Ming,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
28,Ning,ning,Ning,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
29,Peng,peng,Peng,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
30,Qing,qing,Qing,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
31,Rong,rong,Rong,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
32,Yang,yang,Yang,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
33,Yong,yong,Yong,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
34,Qiang,qiang,Qiang,?,-1,Matthias Winkelmann / Jorg Michael firstname-database; China column
35,Xi,xi,Xi,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
36,Dan,dan,Dan,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
37,Fei,fei,Fei,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
38,Hao,hao,Hao,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
39,Hua,hua,Hua,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
40,Jin,jin,Jin,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
41,Kai,kai,Kai,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
42,Lan,lan,Lan,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
43,Mei,mei,Mei,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
44,Qin,qin,Qin,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
45,Rui,rui,Rui,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
46,Wen,wen,Wen,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
47,Xia,xia,Xia,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
48,Yun,yun,Yun,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
49,Chao,chao,Chao,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
50,Chen,chen,Chen,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
51,Dong,dong,Dong,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
52,Qian,qian,Qian,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
53,Tong,tong,Tong,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
54,Xiao,xiao,Xiao,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
55,Yuan,yuan,Yuan,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
56,Zhen,zhen,Zhen,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
57,Cheng,cheng,Cheng,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
58,Liang,liang,Liang,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
59,Xiang,xiang,Xiang,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
60,Zheng,zheng,Zheng,?,-2,Matthias Winkelmann / Jorg Michael firstname-database; China column
61,Ge,ge,Ge,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
62,Ji,ji,Ji,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
63,Ke,ke,Ke,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
64,Lu,lu,Lu,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
65,Na,na,Na,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
66,Xu,xu,Xu,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
67,Ye,ye,Ye,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
68,Fan,fan,Fan,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
69,Hai,hai,Hai,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
70,Jia,jia,Jia,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
71,Kun,kun,Kun,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
72,Nan,nan,Nan,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
73,Pei,pei,Pei,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
74,Qun,qun,Qun,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
75,Shu,shu,Shu,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
76,Yao,yao,Yao,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
77,Yin,yin,Yin,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
78,Yue,yue,Yue,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
79,Zhe,zhe,Zhe,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
80,Zhi,zhi,Zhi,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
81,Chun,chun,Chun,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
82,Juan,juan,Juan,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
83,Lili,lili,Li+Li,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
84,Meng,meng,Meng,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
85,Ting,ting,Ting,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
86,Xian,xian,Xian,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
87,Xing,xing,Xing,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
88,Xuan,xuan,Xuan,?,-3,Matthias Winkelmann / Jorg Michael firstname-database; China column
