rank,name,lowercase,ssa_us_count,source
1880,Esaw,esaw,383,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1883,Utah,utah,382,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1885,Alik,alik,381,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1886,Jahn,jahn,380,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1887,Klee,klee,380,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1889,Rody,rody,379,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1890,Tiki,tiki,379,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1896,Yuli,yuli,375,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1897,Boby,boby,374,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1898,Deng,deng,374,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1899,Oley,oley,374,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1900,Arek,arek,373,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1901,Evva,evva,373,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1902,Foye,foye,373,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1907,Suni,suni,371,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1909,Maui,maui,370,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1910,Kima,kima,369,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1911,Boni,boni,368,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1912,Galo,galo,368,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1914,Odes,odes,367,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1918,Nhan,nhan,366,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1919,Winn,winn,366,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1920,Airi,airi,364,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1921,Osha,osha,364,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1923,Nema,nema,363,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1925,Asja,asja,362,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1927,Yuta,yuta,362,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1929,Gram,gram,360,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1933,Lyah,lyah,358,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1934,Kaeo,kaeo,357,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1935,Shya,shya,357,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1936,Bing,bing,356,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1937,Daly,daly,356,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1938,Elah,elah,356,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1939,Jomo,jomo,355,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1940,Audi,audi,354,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1941,Khya,khya,354,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1942,Teng,teng,354,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1943,Brya,brya,353,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1944,Onix,onix,353,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1945,Para,para,353,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1948,Jeny,jeny,351,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1949,Alam,alam,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1950,Eero,eero,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1951,Emet,emet,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1952,Jaki,jaki,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1953,Pina,pina,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1954,Rahn,rahn,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1955,Tika,tika,348,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1956,Iyan,iyan,347,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1960,Luby,luby,343,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1961,Aysa,aysa,342,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1962,Dmya,dmya,342,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1963,Kiet,kiet,342,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1964,Xela,xela,342,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1965,Reyn,reyn,341,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1966,Ritu,ritu,341,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1968,Cola,cola,340,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1969,Eymi,eymi,340,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1970,Geni,geni,340,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1971,Keni,keni,340,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1972,Lehi,lehi,340,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1973,Mare,mare,340,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1974,Gara,gara,339,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1975,Leor,leor,339,"U.S. SSA national baby-name data, 1880-2024 local mirror"
1976,Myca,myca,339,"U.S. SSA national baby-name data, 1880-2024 local mirror"
