rank,name,lowercase,gender,source_name,source,source_priority,frequency_code,source_row
1,Pal,pal,M,Pal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
2,Raj,raj,?M,Raj,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
3,Asha,asha,F,Asha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
4,Usha,usha,F,Usha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
5,Anita,anita,F,Anita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
6,Madhu,madhu,?F,Madhu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
7,Vijay,vijay,?M,Vijay,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-2,
8,Ram,ram,M,Ram,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
9,Alka,alka,F,Alka,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
10,Anil,anil,M,Anil,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
11,Anju,anju,F,Anju,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
12,Arun,arun,M,Arun,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
13,Indu,indu,F,Indu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
14,Ravi,ravi,?M,Ravi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
15,Renu,renu,F,Renu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
16,Ashok,ashok,?M,Ashok,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
17,Avtar,avtar,M,Avtar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
18,Jyoti,jyoti,F,Jyoti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
19,Kiran,kiran,?F,Kiran,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
20,Manju,manju,?F,Manju,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
21,Meena,meena,F,Meena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
22,Mohan,mohan,M,Mohan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
23,Rekha,rekha,F,Rekha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
24,Saroj,saroj,?F,Saroj,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
25,Seema,seema,F,Seema,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
26,Suman,suman,?F,Suman,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
27,Veena,veena,F,Veena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-3,
28,Uma,uma,F,Uma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
29,Ajay,ajay,M,Ajay,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
30,Amar,amar,M,Amar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
31,Amit,amit,M,Amit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
32,Bala,bala,F,Bala,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
33,Jaya,jaya,F,Jaya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
34,Lata,lata,F,Lata,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
35,Prem,prem,?F,Prem,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
36,Rani,rani,F,Rani,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
37,Rita,rita,F,Rita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
38,Ritu,ritu,F,Ritu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
39,Amita,amita,F,Amita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
40,Amrik,amrik,M,Amrik,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
41,Aruna,aruna,F,Aruna,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
42,Deepa,deepa,F,Deepa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
43,Geeta,geeta,F,Geeta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
44,Kamal,kamal,?M,Kamal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
45,Kusum,kusum,F,Kusum,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
46,Laxmi,laxmi,F,Laxmi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
47,Leena,leena,F,Leena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
48,Mamta,mamta,F,Mamta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
49,Manoj,manoj,M,Manoj,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
50,Meera,meera,F,Meera,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
51,Neera,neera,F,Neera,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
52,Neeta,neeta,F,Neeta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
53,Nisha,nisha,F,Nisha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
54,Pooja,pooja,F,Pooja,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
55,Priya,priya,F,Priya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
56,Rajan,rajan,M,Rajan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
57,Rajni,rajni,F,Rajni,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
58,Sudha,sudha,F,Sudha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
59,Sunil,sunil,?M,Sunil,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
60,Vinod,vinod,M,Vinod,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-4,
61,Jit,jit,M,Jit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
62,Lal,lal,M,Lal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
63,Abha,abha,F,Abha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
64,Ajit,ajit,?M,Ajit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
65,Alok,alok,M,Alok,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
66,Arti,arti,F,Arti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
67,Bela,bela,M,Bela,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
68,Deep,deep,F,Deep,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
69,Hari,hari,M,Hari,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
70,Kala,kala,F,Kala,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
71,Mary,mary,1F,Mary,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
72,Maya,maya,F,Maya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
73,Mona,mona,F,Mona,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
74,Nina,nina,F,Nina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
75,Rama,rama,?M,Rama,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
76,Sneh,sneh,F,Sneh,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
77,Aarti,aarti,F,Aarti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
78,Amrit,amrit,?,Amrit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
79,Anand,anand,M,Anand,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
80,Anshu,anshu,F,Anshu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
81,Beena,beena,F,Beena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
82,Dilip,dilip,M,Dilip,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
83,Divya,divya,F,Divya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
84,Gopal,gopal,M,Gopal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
85,Harry,harry,M,Harry,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
86,Indra,indra,M,Indra,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
87,Kamla,kamla,F,Kamla,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
88,Kanta,kanta,F,Kanta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
89,Kanti,kanti,F,Kanti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
90,Kewal,kewal,M,Kewal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
91,Kirti,kirti,?F,Kirti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
92,Major,major,M,Major,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
93,Meenu,meenu,F,Meenu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
94,Megha,megha,F,Megha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
95,Neena,neena,F,Neena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
96,Neeru,neeru,F,Neeru,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
97,Neetu,neetu,F,Neetu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
98,Padma,padma,F,Padma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
99,Pawan,pawan,?M,Pawan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
100,Radha,radha,F,Radha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
101,Rajiv,rajiv,M,Rajiv,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
102,Rakhi,rakhi,F,Rakhi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
103,Raman,raman,?M,Raman,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
104,Ratan,ratan,M,Ratan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
105,Ratna,ratna,F,Ratna,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
106,Reema,reema,F,Reema,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
107,Reena,reena,F,Reena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
108,Richa,richa,F,Richa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
109,Samir,samir,M,Samir,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
110,Sapna,sapna,F,Sapna,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
111,Sarla,sarla,F,Sarla,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
112,Smita,smita,F,Smita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
113,Sonal,sonal,F,Sonal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
114,Sonia,sonia,F,Sonia,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
115,Swati,swati,F,Swati,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
116,Tapas,tapas,M,Tapas,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
117,Vibha,vibha,F,Vibha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
118,Vikas,vikas,M,Vikas,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
119,Vimla,vimla,F,Vimla,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
120,Vinay,vinay,M,Vinay,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-5,
121,Anu,anu,F,Anu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
122,Bal,bal,M,Bal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
123,Jai,jai,M,Jai,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
124,Roy,roy,M,Roy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
125,Arul,arul,M,Arul,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
126,Asim,asim,M,Asim,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
127,Asit,asit,M,Asit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
128,Atul,atul,M,Atul,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
129,Babu,babu,M,Babu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
130,Daya,daya,F,Daya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
131,Ekta,ekta,F,Ekta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
132,Gita,gita,F,Gita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
133,Hira,hira,M,Hira,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
134,Joga,joga,M,Joga,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
135,Mala,mala,F,Mala,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
136,Mira,mira,F,Mira,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
137,Mita,mita,F,Mita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
138,Neha,neha,F,Neha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
139,Raja,raja,?M,Raja,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
140,Ranu,ranu,F,Ranu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
141,Rasu,rasu,M,Rasu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
142,Roma,roma,F,Roma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
143,Sewa,sewa,F,Sewa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
144,Sham,sham,M,Sham,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
145,Siva,siva,?M,Siva,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-6,
